中国中共中央党校	销售部经理
Northeast Agricultural University	架构师 高级工程师
安徽省行知中学	数据工程师
北京纺织工程学院	供应链管理,电子商务总监,运营总监
福州外语外贸学院	人事专员
江苏大学（宿迁学院）	项目管理,铸造、热处理工程师,生产技术工程师   
贵州商业高等专科学校	会计,销售主任,小学英语教师,行政人事,文员,会计主管,出纳,经理秘书‘行政管理人员、行政助理、合同管理人员、销售内务、,核算主管,会计及会计助理
山东第二技术学院	配制,业务司机,操作工
湖南 机电学院	外贸跟单,船务，商务 ,销售 
齐齐哈尔医学院	销售代表,药剂师,车间生产操作,电脑技术员,医生,护士,QA,人事行政部经理,销售业务,医药代表
北京交通大学成人教育	机器装配
苏州职业经理人培训	营销总监
沈阳铁路实验高中	培训经理,预算员，财务分析，报表与控制,市场经理 客户经理,财务行政助理
重庆交通大学	施工员,软件工程师,试验检测,监理员,工程部,电气工程师,行政人事助理,汽车销售培训讲师,JAVA开发,销售
延世大学	韩国语精读讲师,硕士研究生
河北游戏学院	3D动作设计师,3D动画师
云南临沧市凤庆县平村学校	前台,人事
湖南省衡东县第二中学	特效师,后期制作,合成师
 洛阳理工院校	前台接待或前台文员
深圳大学       （自考本科）	软件实施工程师
河南质量工程学院及安阳师范学院	工程部经理
东北财经大学-在读	主办会计
北京电子职业技术学校	行政司机,商务司机
湖北省宜昌市长阳县磨市镇救师口中学	采购主管
英国杜伦大学二	质量工程师
云南省昆明理工大学	工程师
西安市西铁三中	客户经理
南宁外国语学校	不限
敦化职业技术学院	全职
山东华宇学院	电气技术员,技术员,技术员、工程师助理,汽车类,维修电工,销售员,市场,行政
湖北工业学院	技术支持,项目管理、标准化专员、产品经理助理、产品数据管理工程师等相关工作,采购,经济管理处
湖南省郴州市桂东县2中	电工
湖北蕲春政法学校	品质经理
岳阳大学	生产管理,造价师,人力资源经理,人力资源总监
方圆标志认证集团有限公司	产品经理
西南交大科技学院	执行主管,人事专员、人事助理,总经理/董事长助理,行政专员、行政助理
暨南大迷	会计经理
重庆财经职业学院	会计,收银员,会计助理,出纳
重庆一中	培训总监或组织发展经理,人力资源经理,人力资源总监
完全自学考试	猎头助理顾问  招聘顾问
加拿大达内外企IT培训　	运维工程师,中国光大银行
陕西科技进修学院	项目经理, 技术总监,技术经理
赵镇三小	司机
2003－2007	
新疆领先教育	 销售-王芳-7年
湖南省娄底市人文学院	销售主管
湘江技术学校	电子商务,网络营销,淘宝推广
上海海同科技	软件开发工程师
安徽农业大学	-,区域销售经理,销售代表,管理培训生,研发,区域经理,部门经理,投资顾问,生产经理,责任编辑兼编辑部主任
北京师范大学心理学院	区域总监,总办主任
北京国际工商企业管理研修学院	销售代表
北京工作大学通州分校	渠道开发专员
永丰一中	销售,司机,业务员
邵阳医学高等专科学校	放射科技师
北京人文函授大学	公司常务副总经理
南昌服装学院	质量管理
盛桥中学	生产主管,生产经理,副总监以上,小学数学教师 班主任,成本会计,有机合成研究员,费用或往来会计,总经理,总账会计
榕城模具学校	打样调试,调机,带班管理
美国华盛顿大学	董事总经理
日本福冈大学	不限,运营总监,品牌总监
濮阳市飞龙高中	护士
沈阳师范大学	软件测试工程师,教师,无所谓,翻译,人事主管,teacher,客户经理,高中生物教师  SAT 生物教师,人事行政助理,法务
湖北省丹江口移民工程中等专业学校	生产主管
印第安纳大学	法务经理
天大机电分校（现天津理工大学）	仓库管理
东海县第一中学	仓库管理,叉车工,物料管理
南京泰思特.鼓楼校区	研发工程师,测试工程师
成都理工学院	销售代表,行政人事部经理,工程师,质量总监或质量部经理,PE工程师、工艺工程师,营销总监,品质部经理,人力资源部经理,高级硬件工程师,总经理助理
西安外事旅游培训学院	信贷经理
北京宣武区劳动局技术培训中心	区域销售经理
工山中心初中	演员,模特
吉化实验学校	java程序员
湖北黄冈师范学院	merchandiser,网络工程师,动画设计,英语教研组组长,采购员,电商运营总监,java软件工程师,PMC,电子商务总监,总经理
中国社会科学研究院	人事主管,招聘专员,总经理,招聘主管
山东理工职业学院	高级工程师,质检,财务,售后客服,机械设计,内勤，助理,办公室人员,机械制图
广东省商业学校	会计
永安中学	领导专职司机,总经理司机,专职司机
沂南一职	课长
河北石家庄铁路学院	运营经理,区域管理,市场管理
江西工职院	浮雕设计,跟单
保康教师进修学校	模具设订
Bristol University	上海隆纺织品有限公司
Donghua University	销售助理,实习,CFO,总监,采购总监，供应链总监，代表处首代，产品经理,助理设计师,R&D,业务开发经理
南通供销学校	钢筋预决算工程师,钢筋翻样工程师
河南科技大学林业职业学院（大专在读）	JAVA软件开发
武汉民政职业学院	人力资源和社会保障协调员,旅游顾问,行政助理,设计助理,服装导购,实习生,景观设计助理,导游,计调
东北林业大学（211）	软件测试工程师
吉林省长春中医药大学	商务经理
燕山大学(重点院校)	电网规划工程师,电气（电力）工程师
湖南省工业大学	培训经理
信宜中学	电工
Beijing City University	财务助理,财务,记者,培训,财务主管,export operation& Customer service,行政、助理、专员
商丘科技学院	计划采购,财务,销售,java软件工程师
黑龙江省建三江第一中学	文员 助理 客服 录入校对行政等
浙江省兰溪市第一中学	银行
西安交通大学管理学院	IE工程师,项目经理
天津市河北区工业财会职业中专	SAP系统管理员
河南省三门峡市黄金工业学校	电工,电气设备维护员
华师大	多项管理
天津市民族职专	收银员,销售主管
南京大学(培尔学院)	行政人事经理,行政人事总监
北京市中国科学院心理研究所心理函授大学	人力资源部经理,管理顾问
西安商学院	销售类
湖北科技学院（咸宁学院）	Java程序员
2005/9 -- 2008/6 \t四川商务职业学院\t软件开发（WEB方向）\t大专	ERP实施顾问；技术支持/维护工程师
俄罗斯	销售
唐山科技专修学院	网站美工
广东时代学院	生产管理,经理
湖北美术学院	设计师,原画师,插画师,收银,中央电视台新闻中心形象包装组设计师,少儿艺术老师,美工,产品设计经理,编辑,UI设计，平面设计
军训工程学院	
内乡县第一高级中学	培训师,项目执行/协调人员，软件测试，数据库工程师/管理员，情报信息分析人员，咨询员
Shanghai Institute of Foreign Trade for business english &Huainan Vacational and Technical College	高级跟单员
郭川第一中学	样板房接待员,客服,售楼部接待员
广东省高州科技专修学院	船务
Nanjing Posts and telecommunications University Wu Jiang Professional Technology Institute	外贸单证
2004.09－2006.06 暨南大学      经济学专业          硕士	南城支公司总经理
冶金技校	网络销售
首钢党校	财务总监、财务经理、主管会计
广西桂林灵川中学	业务跟单 销售人员，售后服务人员
安徽宿州职业技术学院	人事专员/助理,内外圆磨,车工,铣工,CAD制图
中国民用航空学院	副总裁、高级合伙人,监工,见习经纪人
天津对外贸易学院	
中山市漫龙动漫学院	模型师
和君创业咨询有限公司	营销经理
德累斯顿国际语言学校（TUDIAS）和歌德语言学校	电机控制,物流工程师,软件,电力电子
江苏南京信息学院	网站推广专员,网络信息,seo优化
黑龙江工程大学	产品助理/专员,韩语类/英语类/行政/文秘,互联网产品经理,项目助理,财务副经理,人事专员,财务主管等,财务经理,产品经理,大区经理
四川大学龙泉校区	旅游咨询/资源/顾问,预算员,资料员,造价员
福建华南女子职业学院	
湖南商贸旅游职业技术学院	资金管理员,出纳
汕头经济管理干部学校	司机
南阳师范	java程序员,java软件工程师
合肥炮兵学院附属中学	营销岗
上海欧华职业技术学院 专科	
湖南省怀化市交通学校	销售主管
东海县高级中学	导购
武汉理工大学	软件工程师,机械工程师,项目经理,结构工程师,电气工程师,产品经理,研发工程师,技术员,施工员,工艺工程师
荆州长航学校	采购
鄱阳第一中学	采购员
湖北省华中科技大学	审计部门经理,模具开发经理,产品开发经理
株洲市职工工业大学	行政助理
桂林航空工业高等专科学校	商务主管
大方高店中学	仓管员,物料员,普工
南京信息工程大学滨江学院（原南京气象学院）	
江苏省淮阴师范学院	
忠义职中	机修,技术员,工程师
新加波物流管理学院	亚运会组委会
中国石油大庆电力技校	维护电工
Xingzhi Middle School	财务控制
上海51testing博为峰软件测试就业培训	软件测试工程师
Automation	销售代表
河南省平顶山市实验中学（原河南省平煤集团第一高级中学）	经理助理等
北京崇文区财贸干校分校	导购，收款，领班，主管
德国哥廷根大学	industry analyst,经营管理部服务课经理,security analyst,security researcher
陆丰第三中学	销售部
Changchun University of Technology	采购经理/主管,工程师,实习生
上海市志丹中学	总经理助理、行政主管
罗定市实验中学	外贸跟单,外贸业务员
南通航海学院	行政人事主管
阳春电大	空调维修工
武汉机电工程学校	包装工程师,热处理工艺,组长,设备维修
凉山民族中学	细胞组成员
蓝天计算机学校	家具设计师
陕西邮电职业技术学院	电子以及电子通信行业,质量管理员,售后技术支撑工程师,质量检验员,客户经理    讲师
保定市物探中心学校第一分校	兼职打字员
北京科技研修学院 2003年3月 - 2006年7月	产品首席架构规划师
四川建筑职业技术学院 西南科技大学	施工员,土建工程师,造价员,现场管理,监理员,技术员,安全员,土建施工员,质量管理,技术负责人
四会邓村中学	楼面部长,其他
北京燕化职工大学	成本预算经理
湖南安全职业技术学院	销售代表,软件测试工程师
杨柑中学	平面设计,图片后期处理,司机,人像精修
1988/09 -- 1991/07：江西教育学院 | 工商管理 | 大专	营运总监
岳阳长岭石化职业技术学院	技术部主管/自控工程师/项目技术支持
河北省艺术职业学院	瑜伽教练
温江农业科技学院	前台接待
四川联邦培训学院	办公室主任
关西语言学院	日语翻译
山东济宁师范专科学院（夜大）	制造部长,生管,生产厂长
西安市新丰高级职业学院	经理
河南南阳华中技校	波峰焊助工,波峰焊技术员
河南电视广播大学	总经理助理；客服主管；销售主管
青岛海洋高级技工学院	调度
长白山第三高级中学	客服服务部助理
中山大学政治与公共事务管理学院	税务专员,会计专员,行政专员
徽商职业学院	会计
合肥市电子学校	
湖北襄阳四中	公关经理、市场经理
河南省上蔡县第二高级中学	人事行政部主管
贵州省第二轻工学校	会计
安徽省合肥市安徽建筑大学	建筑装饰,CAD制图,艺术设计
聚成企业咨询管理有限公司	
水晶石教育学院	业务主管,市场策划,营销顾问,设计师,会计助理,英语翻译,私企融资总监,国企资金科科长,3d动画师,管理部经理
江西省景德镇陶瓷学院	活动策划,技术研发经理/主管,董事长助理兼财务总监
河南商业技师学院	行政主管
泰山医学院经济管理学院	店经理
成人自考	会计,会计主管,财务经理,财务总监,财务主管,总经理助理,客户经理,实习生,股权投资,财务会计
南昌无线电工业学院	市场总监,技术厂长,产品设计总监
广东尔崧中学	营运主管
徐州建筑职业技术学院	施工员,土建工程师,电气设计,扬州冶金机械有限公司,苏州华硕电脑技术有限公司,总经理助理,现场施工管理,专业分包项目经理,生产主管/督导/组长,施工员、资料员
中国人民解放军陆军航空兵学院	eHR产品实施顾问
湖南省益阳市益阳六中	工程管理,CNC工程师
上海市园林学校	项目经理,机械工程师,销售经理,总经理,人事专员,实习生,助理,设备工程师,测试工程师,投资总监
1991-1995哈尔滨师范大学	总经理助理、高级秘书、办公室主任、主编
长沙县实验中学	客户经理
秦皇岛技工学校	
苍溪职中	汽车修理
西安交通大学人文学院	总公司副总经理（分公司总经理）
广州市机电学校	广州
湖北黄冈（团陂高中)	销售主管  电话营销   司机   
National Chung Hsing University	Marketing Supervisor
甘肃省兰州市服装学院	副总经理兼生产总监
天津社会科学院	总裁秘书,总经理秘书
黑龙江省东京城林业技工学校	安全环保经理,安全工程师
内蒙古美术职业学院	平面设计师
广东省东莞市东华高级中学	电气助理工程师
广州大学纺织服装院校	平面设计,品牌视觉
湖南省常德市财经学校	主管或经理
解放军理工大学通信工程学院	主管
法国图尔大学企业管理学院（IAE de Tours)	法语翻译、法语杂志编辑、法语培训
江西理工大学南昌校区	采购员,技术员
杭州市美术职业高级中学	客服运营,在线客服,客服质检
Uni Bremen	联合丰田销售经理
东莞育才实验技工学校	解说员/导购员,服装设计助理
宁夏银川商都厨师学校	职工餐厨师
中原工学院(郑州纺织工学院）	Production supervisor
湖北省随州市职业技术学院	护士,软件开发工程师
东北农业大学（首批211国家重点大学）	供应商质量管理工程师SQE
文登一中	预算员，施工员,施工员,技术员,预算员审计统计,区域经理,土建预算员,土建施工技术人员,房地产评估员
广州市机电中等专业	电子、通信、交通、电源行业IQC工程师、QA工程师 、客服工程师、售后服务工程师
江西科技职业技术学院	业务跟单,电子商务,储备干部（管理）,游戏测试,行政人员
城郊中学	采购主管,塔吊司机
加拿大瑞尔森大学(Ryerson University)	项目经理
金沙一中	冲压模具相关工作
潮阳四中	项目经理
桂林空军学院	呼出业务代表
天津市职工大学	常务总经理     副总经理
中国广播大学	资金管理员
长春汽车工业高等专科	汽车技术培训讲师,汽车技术支持,汽车技术援助,质量工程师
浙江省江山中学	化学教师
云南省财贸学院	财务主管,财务经理,财务管理
黄石市质量技术监督技术学校	生产主管,车间主管,生产班长
Dalian Nave Academy	高级测试工程师
韦博国际英语	国际业务,外贸业务
武汉航海职业技术学校	网络推广专员,SEM优化师,SEM优化专业
吉林大学成教学院	财务总监、财务经理
清远高级技工学校	文员,统计员
淡江大學	General Manager
湖南外国语职业学院	外贸跟单、外贸业务员,外贸,德语编辑,德语客服,英语客服,计调,销售,大堂经理,德语销售,网络推广专员
枣庄师专	工程主管
成都交通学校	驾驶员,行政人事经理 人力资源 人事行政 人事 行政
北京工业学院	人力行政经理、总监
南宁理工学院	网络管理员
山东大学（自考辅院）	
广州市南武中学	编辑,行政助理,运营经理,运营总监,策划
农业部农产品质量安全中心	生产技术总监,有机农场场长,有机农场副场长
上饶市私立致远高中	公司采购、策划人员  销售主管  培训讲师 
武汉城建工业学校	行政总监
哈佛MBA函授教育	
江西师大九江学院	副总经理,董事长助理,行政经理
连云港建筑学校	项目经理
南昌大学（潘阳湖校区）	产品经理
中科院微电子研究所（联合培养）	模拟射频集成电路设计工程师,数字集成电路设计工程师,版图工程师
湖北 荆楚理工学院	行政专员
白银矿业职业技术学院	维修电工,电气技术员
安徽冶金科技职业学院	人力资源主管,人力资源经理,造价员、施工员,实习施工员
本特利大学Bentley University（会计专业全美排名17）	产品经理
马嵬中学	
中央党校成教学院	运营策划 运营编辑 渠道运营 商品运营
长春计算机学校	美工
北京市地铁技术学校	客服专员,客服主管,客服组长
湖南省经济管理干部学院	市场部
成都幼儿师范学校	幼儿教师,感觉统合教师,行政助理
马来西亚国民大学	金融
海军兵种指挥学院	行政人事助理,服装跟单,品质总监,品质部经理,经理,应届毕业生
河北平泉	电工
城建培训中心	经理
东北大学（211、985）	嵌入式系统工程师 质量检测工程师 电子工程师
天津市交通职业学院	C本,助理/内勤/行政
四川省南江县小河职业学院	TSR
重庆科创学院	施工员,物业经理,技术员或者是机械方面CAD绘图员,软件测试工程师,营运经理,人事经理/主管
旧金山州立大学	酒店管理
湘西民族职业技术学院	主持,司仪,司仪主持助理,出纳
青檬夜校	项目经理
Monterey Institute of International Srudies	Senior manager
南方冶金工业学院	
郑州市机电技术学校	高级工程师
武警北京指挥学院	固定资产管理员
安庆师范大学	生产计划员,人事专员
鹿泉市职教中心	导购,销售
广东省化工学校	工程管理,给排水工程师
衡东中等财会学校	
哈尔科夫国立城市管理学院(Kharkov National Institute of Urban Management )  	
澳大利亚维多利亚大学	审计助理
金华孝顺中学	销售,司机
湖南南方专修学院	财务
高州顿梭中学	测试技术员,助理工程师
惠州市小金口中学	销售代表,客户代表,业务员
中信重机技校	销售代表,营销专员,市场销售
湖北省建工学校	土建施工员
东南商学院	样品室经理,浙江省区经理,开发经理,总监
芜湖徽文特色中学	java
安徽无为第二中学	导购
江西科技师范学院    	营销客户经理-Sales Account Manager 
长沙理工学院	施工员,资料员,人事专员,计划主管,预算员,工程部技术员,技术人员,带线小组长
俄罗斯联邦国立沃罗涅日大学（教育部公派出国留学一年）	翻译
北京大学远程教育学院	会计,服务管理主管,财务经理
浙江省上虞市职业教育中心	人事主管,招聘经理,招聘主管
北京航空航天大学软件学院	会计,证券分析师, 金融,副总裁,CTO,出纳主管
江西省宁都县交通驾校	开发部主管
醴陵市第二中学	总经理助理
解放军理工大学	主管,翻译助理,设备管理员,00,测试工程师,市场部经理,销售助理,项目副经理，土建工程师,市场营销,专员
甘肃省静宁县职业中等专业学校	PE技术员兼维修组长
对外经济贸易大学朝阳校区	销售总监,销售代表
河北省城乡建设学校	装饰技术员,装饰施工员,工程管理
西南科技大学、四川建筑职业技术学院	施工管理
黑龙江省畜牧兽医职业学院	产品专员
北京宣武红旗大学	网页设计师
湖南省第二中学	采购经理兼业务
富家小学	会计助理
湖南衡阳师范学院	艺术老师,集团客户客户经理,英语翻译,产品经理,平面设计师,工笔画师,企划,人事经理,室内设计师,美工主管
河南科技大学林业职业学院	生产统计,会计,文员,客服,财务助理,证券公司柜台人员，,客户经理,置业顾问
台湾国立东华大学	金融分析师
四川省眉山市第二人民高中	结构工程师
秦皇岛高等职业技术学院	技术工程师,行政人事助理、生产部助理
波尔多三大	教育文化交流,培训,英语 法语 葡萄酒相关
常山县第二中学	电火花  EDM
湖南楚材培训学校	财务
山东省沂源县第一中学	服务员,操作工,络筒平车队员
Zhengzhou University Electrical Engineering And Automation	技术总监
江汉大学文理学院	java软件工程师,人力资源主管,会计助理,市场策划/商务专员/外贸助理/采购助理,工艺员，技术员，业务员，审核员，操作工,管理培训生,环卫专用车产品设计工程师,编辑,安检员,法语翻译
天府人瑞	推广顾问,行政人事专员,设计师,发行专员,编导 客服 ,Administration,12530说唱就唱栏目组 实习,市场专员,人事助理,营销经理
自贡市9中	工程监理
巴中市水电学校	安防监控安装\维修、
华中工学院 (汉口分院) / 中央电大	给排水及暖通工程师
中国电视大学	大区总监,互联网软件开发工程师,信息处理员,VIP客服专员,人事主管/专员,薪资福利主管/专员,高级精装工程师,Purchasing Manager
河南省叶县第二高级中学	人事助理、管理咨询等
泰兴职教中心校	无,文职
中華技術學院	行政後勤,品管,樂器銷售
广州省湛江信息科技专修学院	品质文员,工程文员,人事文员
湖南澧县第四高级中学	生产班组长,生产领班,生产助理
温州勤奋高中	月饼盒包装设计师,包装设计师
唐山市丰南区第一中学	风景园林设计,预算造价,城市规划
滨海中等电子专业学校	旁站监理
江西科技师范学院房屋建筑工程专业	监理员,现场管理
上海立达职业技术学院	3D场景美工,活动策划,会计实习,兼职导游,head nurse,出纳
山东省烟台市牟平一中	投资、银行、证券、保险、企业管理、人力资源管理、企业战略、
电子信息技术学院	技术工程师
后勤指挥学院	人事行政高级经理
國立中央大學National Central University, Taiwan	總經理 (2003-2011),President (2003-2011)
湖北咸宁技校	钳工
德州新星计算机学校	平面设计师,软件测试工程师
石家庄市财会职业学院	轿车司机
南洋学院	平面设计师
上海旅游专科学校成教学院	餐饮总监
化州第一中学	销售工程师
贵州省知识产权局	项目主管   机电工程师
广西壮族自治区玉林市容县中学	行政助理、 采购,仓管
Dalhousie University	解决方案中心 高级经理
北京联合大学经济管理学院	财务总监,营销总监、副总经理,成本经理,财务经理,经济核算员
贵州航天职业技术学院	机电专业人员,技工,机电维修员或主管,工程师,施工员,底盘设计工程师,电气自动化技术员,服务顾问,造价员,技术员
柴沟堡第一中学	运维人员,技术员,工程师
国立政治大学	CEO,副总经理,总经理
广州工程职业技术学院	服装设计师,经理助理,后勤文员,投融资专员,行政助理
安康市一中	PMC
玉湖中学	车位
五项管理国际集团	生产总监,生产副总经理,生产经理
合肥纺织学院	辅料开发采购
会东中学	喷涂设备工程师,喷涂部门经理,喷涂主管
霍邱中学	电焊，气焊，氩焊，铝焊,焊接管理,铆工，图纸，CAD
天津商学院	财务经理,战略、经营管理、投资分析、企业文化建设、企管、综合管理,产品经理,人事主管,销售,生产经理,技术工程师,投资分析助理,银保事业部渠道经理,财会 审核 风险控制
通化市财经学校	销售经理
湖南益阳商务电子中等专业学校	采购
Guangdong Vocational College of Mechanical & Electrical Tech	salesman,业务员
深圳广播电视电学	会计,文员
重庆联合技术大学	副总裁兼总会计师
普科国际	北京百德福科技发展有限公司
山东师范大学成人教育	ASP.NET软件工程师
苏州市软件评测中心	软件测试工程师
Ordnance Engineering College	人力资源总监\人力资源经理
山东省潍坊高等专科学校	总经理
武汉商业服务学院	会计,总经理,销售主管,财务部 | 会计文员,后勤主管,销售总监 销售经理,厨师长,美工,销售员,船务
部队成人自学	行政
马来西亚理工大学（Universiti Teknologi Malaysia）	运营，行政，后勤，管理培训生
涟源科技职业学校	
创佳电脑技术学校	生产管理,营运管理,CAD绘图
西南交大人文学院	会计
成都十九中	导购
瑞金职业技术学校	\t深圳瑞普高电子有限公司
南县第一中学	生产部主管
Hainan University	编辑，教师，营销专员,机械设计师
湖南司法警官职业学院	后勤,销售,行政专员
北京首都铁路卫生学校	护士
鹿泉市上寨乡中	汽车钣金
加拿大 达内IT培训	作业员
技术学院	厨师
北京农校	园林养护主管,园林项目经理,园林工程师
吉林省桦甸市第四中学	
淄博鲁中艺术学校	ui设计师
四川科技技术学院	汽车机电维修
华南师范大学南海校区	平面设计,程序员助理兼网站编辑,文员,财务/会计,文案规划,美工,设计助理,外贸业务,职员
工商银行兰州银行学校	业务分析师
山东高中	51Testing:,软件测试工程师
呼和浩特职业学校	销售内勤，前台接待
东北财经大学/中央广播电视大学	人事专员,人事经理,培训主管,区域主管,人事主管,行政经理
乌克兰国立基辅大学	俄语翻译
承德旅游职业学院	客服经理 主管,大客户部
四川泸州师范附属小学	
Hebei Radio and TV University	财务经理,项目经理,人事专员,总经理,会计,销售经理,技术员,主管会计,会计助理,库管
北京师范大学继续教育学院	财务经理,办公室主任,副　总经理,财务主管,销售代表员,工程/项目经理,PHP程序员,生产经理,销售工程师,QA/QC 经理
马来西亚北方大学	人事经理,市场策划,高级助理,行政专员
北京科技职业技术学院	java工程师,中心主任,工程管理,招聘顾问/电话销售,顾问助理,客服经理,大客户经理,客服主管,课程顾问,课程顾问主管
南京中医药大学翰林学院	会计助理,财务助理,出纳助理
广州仲恺农业技术学院	广东区域经理
北京八维	行天影响传媒公司
永州职业技术学校	行政司机,司机,淘宝美工
鄂尔多斯职业学院	室内设计
营山第二中学	QE工程师,测试工程师,售后服务
英国伦敦大学学院	项目投资,人力资源助理
北京大学(成人)	质量控制,会计,人力资源,总经理助理
河北工程高等专科学院	调试工程师
梅县职业中专学校	生产组长,SMT组长,SMT拉长
广州交通技师学院	会计
尼斯大学	Managing Director Assistant
中科院生态环境中心/河南理工大学	项目经理 水处理工程师
宿州市褚兰中学	客服 ，车辆保险，寿险
日本东京外语学校	日语营业担当
上海复旦大学（全国自学考）	商务主管
贵阳市城乡建设学校	施工员
上海市市北职业高级中学	行政/助理/文员,会计,前台/总机/接待生
58中学	焊工
金桥大学	平面设计师,ＵＩ设计师
湖南省计算机高等专科学校	技术工程师
江苏电大	工程部经理,财务经理
清远市清城区源潭中学	行政/采购文员
上海市第六中学	财务总监,总会计师
哈尔滨博仁网络实验室	咨询顾问
伊犁师范大学	
围场一中	市场总监,司机
湖北职院	外贸经理,置业顾问,营销主管,品牌经理,销使主管
东平2中	万能工
建筑	消防工程项目经理
苍梧一中	生产主管
抚州职业技术学院	销售督导兼采销,施工员,网站设计,网络安防,数据库开发、管理,维修,UI设计,软件开发、测试,测试,大客户经理
中国市场学会	销售总监
山东淄博职业学院	销售,FLASH设计
前进中学	带车司机
吉安信息工程学校	项目管理,工模主管,化妆品销售,电商客服/助理,日化线销售,技术经理,销售客服,工程主管,工程技术,彩妆销售
北京政法管理干部学院	人力行政总监,网络管理员,人力资源总监,人事总监,人力资源专员/助理,数据分析员
洛阳理工学院（现）	副主任
christian chauveau	化妆师,设计师,英语教师
丹东纺织高等专科学校	项目管理,设计主管,工程师
河南省武陟县第一中学分校	维修技工
广东轻工科技技术学院	暑假工
合肥学院（合肥联合大学）	采购、助理工程师、行政类及其它
南京	客户经理+营销主管,关务,工程师,软件工程师,部门经理,冷菜领班
广州市第五中学	证券,销售,银行
广西南宁职业技术学院	财务,会计,行政助理、人事助理
天津时城市职业学院	品牌主管,销售主管,美容讲师
叙利亚大马士革大学	伊朗项目部文控
吉林省长春市成人文理学院	库管
吉林省白城师范学院	软件工程师,支持，助理
广东博雅学院	人事助理,广州中洋国际旅行社,淘宝店铺经理,行政助理
电子科技大学(自修)	建筑电气工程,项目工程师,强.弱电气工程师
九州学院	会计（AR AP 总账）,成本会计,销售助理,跟单,人事
黑龙江牡丹江师范学院	财富保障策划经理,会计
北京市科技干部局	集团总部人力资源总经理/总监,集团人力资源总监
广东省茂名职业技术学院	测量,施工
江苏省启东市东南中学	服务,调度,接待
武汉纺织大学wa	高分子材料相关工作
衡水铁路电气化学校	技术员,工厂操作工,电工
四川省眉山市仁寿县—仁寿一中	
山东大学（交流学习）	销售信息管理,销售支撑经理,销售项目经理
环球数码	角色动画师
城志教	钳工
雅礼中学	-
2007-2010就读于渤海船舶职业学院船舶动力装置技术专业柴油机方向	
大连轻工	服装产品经理、服装设计、服装买手
河北女院	招聘专员,人事专员,行政经理
嘉鱼第一中学	销售工程师
湖北省利川市都亭学校	吹塑工艺师,吹塑生产主管,吹塑工程师
张家口市机械工业学校	办公室文员
山东师范大学历山学院	韩语翻译,韩语教师,游戏软件,韩语导游,软件技术
郑州工业大学(郑州大学)	人事行政总监
北京中国农业大学东区	供应商体系管理兼翻译
四川省劳动和社会保障学会	行政副总
中国美术学院艺术设计职业技术学院	绘画,插画,影视 动画 分镜,漫画,游戏原画
北京建筑工程学院远程继续教育学院	土建技术员
西南财经大学成教院	副总经理,厂长,总经理
中大岭南学院	总/副总经理,总监,高级管理
九中	安装电工,布线,维修,机电维修,弱电(网络)
广西三江县八江中学	牵引车  司机,挖掘机，铲车，司机,小车  司机
广州市南华工商学院西院	业务员
郑州工业学院	平面设计/人事助理/行政助理,职员
甘肃省武威市第八中学	职员
北京职业资格考试	人事专员
泗水县泗张镇中学	会计助理
柏塘中学	模具工程师,自动化工程师
湖南职业软件学院	网页制作
黑龙江省电大	经理
深圳会计学院	人事专员
成都思远信息技术学院	销售内勤
重庆航天职职业技术学院	施工员,预算员,安全员
邵阳计算机学校	司机
四川省信息工程学校	销售经理
四川省攀枝花学院	华为W网RNC地区负责人,人事专员、助理，人力资源,产品经理,售前/售后技术支持工程师、计算机硬件维护工程师、移动通信工程师,区域销售经理,服装设计师,路桥 造价,护士,预算员,美术指导
天津建工学校	园林景观设计总监
黑龙江省生物科技职业学院	
河南司法警官职业学院	销售主管
淮南职业技术学院	施工员,市场类,会计,技术员,销售类,实施工程师,商务助理,渠道类,制图员,业务主管
四川省建筑工程管理学院	运营总监
河北唐山一中	安全员
北京丰台成职学校	电工
美国纽约中央州立大学	副总经理
广州现代信息职业技术学院	导购员
成都市工业学校（统招）	行政、人事经理/总监
杭州滨江区科技自考院办	客服,导购,销售
Shanghai Second Polytechnic University	(助理)工程师
广东省机电职业技术学院	业务主管,财务助理,区域经理,业务经理,会计
宁夏青铜峡市第一中学	内勤,行政专员,行政助理
长治技师学院	操作员
四川达州师范学校	室内设计师
衡阳市机械技工学校	技工,模具师傅,组长,品质文员,内审员,IQC
新加坡亚太商学院	
湖北科技学院	财务助理,软件工程师,出纳,销售代表,会计助理,营销经理 主管,外贸业务员,时尚买手,无,助理工程师
机械电子工业学校	生产管理 cnc 加工中心 销售
重庆市南岸区长生桥巴五中	驾驶员
四川省凉山民族中学校	CAD制图技术指导及业务管理
南京师范大学浦口校区	开发人员
邵阳技工学校	维修主管
东莞经济贸易学校	营业员
酒泉职业技术学院	行政文员/助理,资料员,区域经理,业务主管,档案管理员,销售主管
新加坡博伟国际学校	外贸业务员
山西省康杰中学	甲方公关经理,市场经理
常州市体育运动学校	后期制作 摄像
法国国立管理工艺大学	金融,证券
北京应技术大学	三维设计师
徐州16中	销售代表
上海现代职业技术学校	培训,行政,项目
满城中学	客户经理
百色职业学院	PCB设计工程师,单片机助理工程师,单片机工程师
保定现代中等专业学校	技术部
jibuqingle	摄影师
宜昌县高级中学	材料主管
陕西省汉中商业学校	财务经理
Guangdong Forgein Study University	华南物流业务科课长
贵州师范大学白云校区	品质经理、品质总监等
南京农业机械化学校	员工
